Data;0-39;40-59;60-79;80-89;>= 90
25/03/21;0,47%;7,01%;38,32%;40,65%;13,55%
26/03/21;0,46%;6,19%;39,22%;37,61%;16,51%
27/03/21;0;5,90%;42,36%;37,80%;13,94%
28/03/21;0,26%;3,94%;44,36%;34,91%;16,54%
29/03/21;0,22%;5,97%;38,94%;38,50%;16,37%
30/03/21;0;4,12%;41,40%;38,26%;16,22%
31/03/21;0;6,08%;39,64%;39,86%;14,41%
01/04/21;0,22%;5,59%;43,40%;37,36%;13,42%
02/04/21;0;4,74%;39,05%;37,02%;19,19%
03/04/21;0,23%;7,00%;40,63%;38,60%;13,54%
04/04/21;0;3,42%;47,89%;34,21%;14,47%
05/04/21;0;6,47%;40,55%;35,82%;17,16%
06/04/21;0;3,16%;43,37%;36,63%;16,84%
07/04/21;0;4,76%;39,35%;43,61%;12,28%
08/04/21;0;5,65%;39,76%;37,41%;17,18%
09/04/21;0,24%;5,02%;44,50%;36,12%;14,11%
10/04/21;0,52%;4,66%;42,23%;35,75%;16,84%
11/04/21;0,26%;3,69%;43,54%;36,68%;15,83%
12/04/21;0;6,47%;44,53%;33,58%;15,42%
13/04/21;0,53%;7,69%;44,83%;31,03%;15,92%
14/04/21;0,30%;3,57%;47,92%;32,74%;15,48%
15/04/21;0,31%;7,14%;39,75%;36,34%;16,46%
16/04/21;0;6,90%;45,77%;39,50%;7,84%
17/04/21;0;6,97%;49,09%;33,94%;10,00%
18/04/21;0,33%;6,02%;43,14%;35,12%;15,38%
19/04/21;0;8,50%;48,69%;32,68%;10,13%
20/04/21;0,63%;3,13%;47,81%;34,06%;14,38%
21/04/21;0,30%;10,48%;42,51%;34,13%;12,57%
22/04/21;0,37%;3,66%;46,15%;30,77%;19,05%
23/04/21;0,62%;5,88%;48,92%;30,96%;13,62%
24/04/21;0;4,26%;43,93%;38,03%;13,77%
25/04/21;0,36%;4,73%;45,45%;31,27%;18,18%
26/04/21;1,00%;6,31%;50,50%;27,91%;14,29%
27/04/21;0,86%;7,73%;49,36%;29,61%;12,45%
28/04/21;1,09%;6,88%;47,83%;32,25%;11,96%
29/04/21;0,84%;5,91%;55,27%;28,27%;9,70%
30/04/21;0,42%;6,28%;47,28%;31,38%;14,64%
