Settimana;Comune;Casi
07/02/2022 - 13/02/2022;CASSANO M.;5
07/02/2022 - 13/02/2022;CASTELLANA G.;0
07/02/2022 - 13/02/2022;CELLAMARE;4
07/02/2022 - 13/02/2022;CONVERSANO;103
07/02/2022 - 13/02/2022;CORATO;38
07/02/2022 - 13/02/2022;GIOIA DEL COLLE;2
07/02/2022 - 13/02/2022;GIOVINAZZO;0
07/02/2022 - 13/02/2022;GRAVINA IN P.;35
07/02/2022 - 13/02/2022;GRUMO APPULA;9
07/02/2022 - 13/02/2022;LOCOROTONDO;0
07/02/2022 - 13/02/2022;MODUGNO;13
07/02/2022 - 13/02/2022;MOLA DI BARI;29
07/02/2022 - 13/02/2022;MOLFETTA;13
07/02/2022 - 13/02/2022;MONOPOLI;0
07/02/2022 - 13/02/2022;NOCI;0
07/02/2022 - 13/02/2022;NOICATTARO;51
07/02/2022 - 13/02/2022;PALO DEL C.;0
07/02/2022 - 13/02/2022;POGGIORSINI;0
07/02/2022 - 13/02/2022;POLIGNANO;32
07/02/2022 - 13/02/2022;PUTIGNANO;0
07/02/2022 - 13/02/2022;RUTIGLIANO;19
07/02/2022 - 13/02/2022;RUVO DI P.;12
