Giorno;Positivi;Positivi_non_consolidati;Sintomatici;Sintomatici_non_consolidati
14/06/21;0,709058346;;0,70864807;
15/06/21;0,702921838;;0,701636812;
16/06/21;0,695377972;;0,693376426;
17/06/21;0,68603537;;0,683726837;
18/06/21;0,675646417;;0,673168111;
19/06/21;0,666133057;;0,663634203;
20/06/21;0,659271967;;0,656979316;
21/06/21;0,650408079;;0,648635233;
22/06/21;0,643779866;;0,642705782;
23/06/21;0,638118142;;0,637973876;
24/06/21;0,633655869;;0,634641381;
25/06/21;0,632496993;;0,634927116;
26/06/21;0,636699998;;0,640173081;
27/06/21;0,647186698;;0,651504789;
28/06/21;0,662598918;;0,667780745;
29/06/21;0,684904318;;0,690688236;
30/06/21;0,71529554;;0,721362234;
01/07/21;0,754816487;;0,761103898;
02/07/21;0,799940591;;0,805937263;
03/07/21;0,850995247;;0,856415914;
04/07/21;0,909733576;;0,914227529;
05/07/21;0,973077978;;0,976554341;
06/07/21;1,040916303;;1,043323881;
07/07/21;1,110474536;;1,111653796;
08/07/21;1,177052413;;1,177340518;
09/07/21;1,245227367;;1,245405841;
10/07/21;1,312230856;;1,312812381;
11/07/21;1,373842872;;1,375130197;
12/07/21;1,430605972;;1,433052638;
13/07/21;1,486210886;;1,490533473;
14/07/21;1,541694947;;1,547861243;
15/07/21;1,596371607;;1,603949178;
16/07/21;1,643635555;;1,652078581;
17/07/21;1,682227121;;1,690547066;
18/07/21;1,711920795;;1,719199425;
19/07/21;1,735992905;;1,741087601;
20/07/21;1,751693904;;1,754305589;
21/07/21;1,757672402;;1,757176515;
22/07/21;1,750469413;;1,746376555;
23/07/21;1,732403838;;1,724118541;
24/07/21;1,70349843;;1,691565399;
25/07/21;1,663776435;;1,64896131;
26/07/21;1,622480739;;1,605125716;
27/07/21;1,579743871;;1,560720707;
28/07/21;1,538032758;;1,517639997;
29/07/21;1,494338065;;1,472932898;
30/07/21;1,448529975;;1,426563384;
31/07/21;1,399835916;;1,377613195;
01/08/21;1,352565613;;1,330519711;
02/08/21;1,310645985;;1,288541281;
03/08/21;1,274760618;;1,252441243;
04/08/21;1,243914049;;1,221577948;
05/08/21;1,216539381;;1,194299156;
06/08/21;1,190883011;;1,168899259;
07/08/21;1,165782789;;1,144503559;
08/08/21;1,142093541;;1,122171292;
09/08/21;1,122684852;;1,10444078;
10/08/21;1,107297589;;1,090905661;
11/08/21;1,092342987;;1,077955958;
12/08/21;1,077339076;;1,065053739;
13/08/21;1,06328933;;1,052608447;
14/08/21;1,04941112;;1,040216877;
15/08/21;;1,034649643;;1,027076955
16/08/21;;1,021726766;;1,015404173
17/08/21;;1,009716186;;1,004133335
18/08/21;;0,999443316;;0,993886845
19/08/21;;0,989751708;;0,983647636
20/08/21;;0,980116717;;0,973152283
21/08/21;;0,970520838;;0,962217772
22/08/21;;0,959408622;;0,949592552
23/08/21;;0,945357741;;0,933405119
24/08/21;;0,92695538;;0,912249188
25/08/21;;0,903940788;;0,886017633
26/08/21;;0,876074874;;0,854678906
27/08/21;;0,84215189;;0,81778185
28/08/21;;0,803092787;;0,776573028
29/08/21;;0,758305002;;0,730060731
