Settimana;Data;Regione;Totale Medici;Totale Casi;Totale Assistiti;Totale Incidenza;Casi (0-4 anni);Inc (0-4 anni);Casi (5-14 anni);Inc (5-14 anni);Casi (15-64 anni);Inc (15-64 anni);Casi (65 anni e oltre);Inc (65 anni e oltre)
2021-05;1-7 febbraio;Val D'Aosta;5;9;7.174;1,25;-;-;1;1,21;7;1,66;1;0,55
2021-05;1-7 febbraio;Lombardia;147;398;195.034;2,04;56;4,62;67;2,43;231;2,08;44;1
2021-05;1-7 febbraio;P.A. di Bolzano;4;10;6.033;1,66;2;4,42;1;1,26;5;1,43;2;1,55
2021-05;1-7 febbraio;P. A. di Trento;10;24;11.914;2,01;2;3,27;4;2,09;15;2,22;3;1,13
2021-05;1-7 febbraio;Veneto;48;31;61.087;0,51;4;0,92;6;0,54;19;0,57;2;0,16
2021-05;1-7 febbraio;Friuli V.G.;5;2;6.504;0,31;-;-;1;0,4;1;0,45;-;-
2021-05;1-7 febbraio;Liguria;18;61;22.254;2,74;15;11,96;16;5,03;24;2;6;1,03
2021-05;1-7 febbraio;Emilia Romagna;23;55;26.512;2,07;26;8,38;10;1,49;16;1,41;3;0,56
2021-05;1-7 febbraio;Toscana;24;100;40.301;2,48;31;11,8;30;4,43;34;1,73;5;0,44
2021-05;1-7 febbraio;Umbria;8;24;9.498;2,53;7;11,86;9;5,81;7;1,26;1;0,55
2021-05;1-7 febbraio;Marche;14;12;17.693;0,68;2;1,56;1;0,28;9;0,99;-;-
2021-05;1-7 febbraio;Lazio;171;288;211.523;1,36;39;4,31;46;2,03;165;1,27;38;0,76
2021-05;1-7 febbraio;Abruzzo;34;56;35.888;1,56;7;1,65;16;1,8;25;1,5;8;1,31
2021-05;1-7 febbraio;Molise;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-05;1-7 febbraio;Campania;16;35;19.756;1,77;5;2,5;11;2,63;15;1,4;4;1,38
2021-05;1-7 febbraio;Puglia;72;211;93.934;2,25;19;5,46;26;3,23;144;2,43;22;0,95
2021-05;1-7 febbraio;Basilicata;12;-;14.461;-;-;-;-;-;-;-;-;-
2021-05;1-7 febbraio;Calabria;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-05;1-7 febbraio;Sicilia;87;157;105.045;1,49;19;4,05;27;2,26;90;1,42;21;0,84
2021-05;1-7 febbraio;Sardegna;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd;nd
2021-06;8-14 febbraio;Piemonte;37;129;55.508;2,32;19;5,48;25;1,98;73;2,64;12;1,02
