"period_start","period_end","publication","url","variant","number_cases","percent_cases_variant","variant_sex_female","percent_variant_female","variant_sex_male","percent_variant_male","native_case","imported_case","period_start_last_45_days","period_end_last_45_days","number_cases_last_45_days","perc_cases_last_45_days","variant_sex_female_last_45_days","percent_variant_female_last_45_days","variant_sex_male_last_45_days","percent_variant_male_last_45_days","native_case_last_45_days","imported_case_last_45_days"
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.525",427,0.8,174,0.7,253,1,363,64,"17/07/21","30/08/21",5,0.1,4,0.1,1,0.1,4,1
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.617.1",241,0.5,112,0.5,129,0.5,239,2,"17/07/21","30/08/21",100,1.2,51,1.3,49,1.1,100,0
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","B.1.617.3",6,0.1,4,0.1,2,0.1,6,0,"17/07/21","30/08/21",4,0.1,2,0.1,2,0.1,4,0
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","P.2",5,0.1,1,0.1,4,0.1,5,0,"17/07/21","30/08/21",0,0,0,0,0,0,0,0
"28/12/20","30/08/21","03/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_8/Bollettino_varianti_8.pdf","Other",6027,11.8,2953,11.9,3074,11.7,5882,145,"17/07/21","30/08/21",646,7.8,306,7.7,340,7.7,633,13
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.1.7",27493,48,13735,49.5,13758,46.6,27243,250,"31/07/21","13/09/21",35,0.4,20,0.5,15,0.4,32,3
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.1.7 + E484K",74,0.1,36,0.1,38,0.1,74,0,"31/07/21","13/09/21",1,0.1,1,0.1,0,0,1,0
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.351",286,0.5,134,0.5,152,0.5,275,11,"31/07/21","13/09/21",1,0.1,0,0,1,0.1,1,0
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","P.1",2829,4.9,1386,5,1443,4.9,2795,34,"31/07/21","13/09/21",7,0.1,1,0.1,6,0.1,5,2
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.617.2",19215,33.6,8893,32.1,10322,35,18021,1194,"31/07/21","13/09/21",7241,87.7,3506,87.4,3735,88,6880,361
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.525",447,0.8,175,0.6,272,0.9,365,82,"31/07/21","13/09/21",0,0,0,0,0,0,0,0
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.617.1",292,0.5,140,0.5,152,0.5,290,2,"31/07/21","13/09/21",103,1.2,60,1.5,43,1,103,0
"28/12/20","13/09/21","17/09/21","https://github.com/fbranda/INFN-ISS/blob/main/Report_ISS/Varianti/Bollettino/Bollettino_n_9/Bollettino_varianti_9.pdf","B.1.617.3",33,0.1,21,0.1,12,0.1,28,5,"31/07/21","13/09/21",25,0.3,16,0.4,9,0.2,20,5
